alignment_index,id2,series2,begin2,end2,s2_no_gaps,id,series,begin,end,s1_no_gaps,matches
1,page_303,mega,1826,3217," Eine kritische Geschichte der Technologie würde überhaupt nachweisen, wie wenig irgend eine Erfindung des 18. Jahrhunderts einem einzelnen Individuum gehört. Bisher existirt kein solches Werk. Darwin hat das Interesse auf die Ge‐ schichte der natürlichen Technologie gelenkt, d. h. auf die Bildung der Pflanzen‐ und Thierorgane als Produktionsinstrumente für das Leben der Pflanzen und Thiere. Verdient die Bildungsgeschichte der produktiven Organe des Gesellschaftsmenschen, der materiellen Basis jeder besondern Gesellschaftsorganisation, nicht gleiche Aufmerksamkeit? Und wäre sie nicht leichter zu liefern, da, wie Vico sagt, die Menschengeschichte sich dadurch von der Na‐ turgeschichte unterscheidet, daß wir die eine gemacht und die andere nicht gemacht haben? Die Technologie enthüllt das aktive Verhalten des Menschen zur Natur, den unmittelbaren Pro‐ duktionsprozeß seines Lebens, damit auch seiner gesellschaftlichen Lebensverhältnisse und der ihnen entquellenden geistigen Vorstellungen. Selbst alle Religionsgeschichte, die von dieser materiellen Basis abstrahirt, ist ‒ unkritisch. Es ist in der That viel leichter durch Analyse den irdischen Kern der religiösen Nebelbildungen zu finden, als umgekehrt aus den jedesmaligen wirklichen Lebensverhältnissen ihre verhimmelten Formen zu entwickeln. Die letztere ist die einzig materialistische und daher wissenschaftliche Methode.",1896-97a,dnz,853247,854537," eine kritische Geschichte der Technologie noch nicht existirt, und bemerkt weiter: ""Darwin hat das Interesse auf die Geschichte der natürlichen Technologie gelenkt, d. h. auf die Bildung der Pflanzen und Thierorgane als Produktions¬ instrumente für das Leben der Pflanzen und Thiere. Verdient die Bildungsgeschichte der produktiven Organe des Gesellschaftsmenschen, der materiellen Basis jeder besonderen Gesell¬ schaftsorganisation, nicht die gleiche Aufmerksamkeit? Und wäre sie nicht leichter zu liefern, da, wie Vico sagt, die Menschengeschichte sich dadurch von der Naturgeschichte unterscheidet, daß wir die eine gemacht und die andere nicht gemacht haben: Die Technologie enthüllt das aktive Verhalten des Menschen zur Natur, den unmittelbaren Produktionsprozeß seines Lebens, damit auch seiner gesellschaftlichen Lebensverhältnisse und der ihnen entquellenden geistigen Vorstellungen. Selbst alle Religionsgeschichte, die von dieser materiellen Basis ab¬ strahirt, ist — unkrilisch. Es ist in der That viel leichter, durch Analyse den irdischen Kern¬ der religlösen Nebelbildungen zu finden, als umgekehrt aus den jedesmaligen wirklichen Lebens¬ verhältnissen ihre verhimmelten Formen zu etwickeln. Die letztere ist die einzig¬ materialistische und daher wissenschaftliche Methode.",1252
2,page_245,mega,0,272,"wenig variables Kapital anwendet, deßwegen keinen kleineren Gewinn oder Mehrwerth erbeutet als ein Bäcker, der relativ viel variables und wenig constantes Kapital in Bewegung setzt. Zur Lösung dieses scheinbaren Widerspruchs bedarf es noch vieler Mittelglieder, wie es vom",1896-97a,dnz,2254016,2254308,"ersten Bande des ""Kapital"", Kapitel X, das Gesetz, des Mehrwerths festgestellt hatte, fügte er sogleich hinzu, ""daß dies Gesetz offenbar, aller auf den Augenschein gegründeten Erfahrung widerspricht"". ""Zur Lösung dieses Widerspruchs"" fährt er fort, ""bedarf es noch vieler Mittelglieder."" Er v",70
3,page_281,mega,1362,2163,"ichzeitige Beschäftigung Vieler, die Gleichartiges thun, aber jetzt als Ausdruck eines organischen Verhältnisses. Die manufakturmäßige Theilung der Arbeit vereinfacht und vermannigfacht also nicht nur die qualitativ unterschiednen Organe des gesellschaftlichen Gesammtarbeiters, sondern schafft auch ein mathematisch festes Verhältniß für den quantita‐ tiven Umfang dieser Organe, d. h. für die relative Arbeiteranzahl oder rela‐ tive Größe der Arbeitergruppen in jeder Sonderfunktion. Sie entwickelt mit der qualitativen Gliederung die quantitative Regel und Proportionalität des gesellschaftlichen Arbeitsprozesses. Ist die passendste Verhältnißzahl der verschiednen Gruppen vonTheilarbeitern erfahrungsmäßig festgesetzt für eine bestimmte Stufenleiter der Produktion, so kann man diese Stufenleiter",1896-97a,dnz,2315693,2316779,"sie ist nach ihm durchaus vom Uebel. In diesen Punkt ist Herr Rae sogar beschränkt zu nennen. Denn in all seinen Ausführungen gegen die Idee der Einschränkung der Produktion der Einzelnen, um die Arbeitsgelegenheit Aller zu vermehren, giebt er nur die¬ landläufigen Argumente manchesterlicher Freihändler zum Besten, wonach Ein¬ schränkung der Produktion nothwendig mit Verminderung der Mittel des allgemeinen Komforts identisch wäre, ohne auch nur vorübergehend anzudeuten, wie viel Zeit heute auf die Produktion von Dingen verwendet wird, die für den Komfort keines Menschen von Nutzen sind, daß nicht nur während des Arbeitsprozesses Arbeitszeit¬ vergeudet wird, sondern daß auch ein großer Theil der wirklich aufgewendeten Arbeit maßlose Vergeudung von Arbeitskraft darstellt. Nun beschränkt allerdings Herr Rae seine Untersuchung auf die vor seinen Augen liegende Gesellschaft, und man kann es als fraglich hinstellen, ob in dieser eine mit Verkürzung des Arbeits¬ der Gesellschaft kapitalistischer Konkurrenz¬ tages verbundene Einschränkung der Produktion, so wie sie den Arbeiter",97
4,page_050,mega,2031,2266," daß das Mittelalter nicht vom Katholicismus und die antike Welt nicht von der Politik leben konnten. Die Art und Weise, wie sie ihr Leben gewannen, erklärt umgekehrt, warum dort die Politik, hier der Katholicismus ihre Rollen spielten",1896-97a,dnz,643130,643819," daß das Mittelalter nicht vom Katholizismus und die antike Welt nicht von der Politik leben konnten; es kannt auch ebenso gut wahr sein, daß ein Dichter nicht von seinen Dichtungen leben kann, sondern auch eines anerkennenden Publikums bedarf, durch das es ihm möglich wird, sich zu ernähren; aber das erklärt immerhin seine spezielle poetifche Gabe nicht hinreichend, obwohl ich gerne zugebe, daß durch die Kartoffeln rc. bei einer genauen Forschung ein Einfluß auf die geistige Produktion sich nachweisen ließe. Es ist einfach eine petitio principtt, zu sagen, die Art und Weise wie sie ihr Leben gewannen, erklärt, warum dort, die Politik, hier der Katholizismus die Hauptrolle spielte",188
5,page_196,mega,520,652,die Bäckergesellen in Irland auf ihreeigenen Kosten große Meetings zur Agitation gegen die Nachtarbeit und das Arbeiten an Sonntagen,1896-97a,dnz,1504857,1505390,"die Bäcker¬ gesellen in Folge der Arbeitsbedingungen meist unverheirathet bleiben. Als adjnvans kommt hinzu der Alkoholmißbrauch in Folge der schweren und langen körperlichen 406 Die Neue Zeit. Arbeit in überhitzter, eine beständige Schweißabsonderung bewirkenden Luft, derem hohe Temperatur ebenfalls den Geschlechtstrieb steigert. Der Alkoholmißbrauch aber steigert nicht nur den Geschlechtstrieb, søndern er depravirt ihn auch, macht ihm immer weniger wählerisch, Dazu kommt die in Folge der Nachtarbeit (und des da¬ durch nothwen",43
6,page_014,mega,181,814,"mildern. Zur Vermeidung möglicher Mißverständnisse ein Wort. Die Gestalten vonKapitalist und Grundeigenthümer zeichne ich keineswegs in rosigem Licht. Aber es handelt sich hier um die Personen nur, soweit sie die Personifikation ökonomischer Kategorien sind, Träger von bestimmten Klassenverhält‐ nissen und Interessen. Weniger als jeder andre kann mein Standpunkt, der die Entwicklung der ökonomischen Gesellschaftsformation als einen na‐ turgeschichtlichen Prozeß auffaßt, den Einzelnen verantwortlich machen für Verhältnisse, deren Geschöpf er social bleibt, so sehr er sich auch subjektiv über sie erheben mag. Auf dem Gebiet der",1905-06b,dnz,1593020,1593654,"iert: ""Zur Vermeidung möglicher Mißverständnisse ein Wort. Die Ge¬ stalten von Kapitalist und Grundeigentümer zeichne ich keineswegs in rosigem, Lichte. Aber es handelt sich hier um die Personen nur, soweit sie die Per¬ sonifikation ökonomischer Kategorien sind, Träger von bestimmten Klassen¬ verhältnissen und Interessen. Weniger als jeder andere kann mein Stand¬ punkt, der die Entwicklung der ökonomischen Gesellschaftsformation als einen naturgeschichtlichen Prozeß auffaßt, den einzelnen verantwortlich machen für Verhältnisse, deren Geschöpf er sozial bleibt, so sehr er sich auch subjektiv über sie erheben mag. Wer unseren Be",609
7,page_500,mega,1216,1446,"That nur aus, daß ihre Natur jede solche Abnahme im Exploitationsgrad der Arbeit oder jede solche Steigerung des Arbeitspreises ausschließt, welche die stetige Reproduktion des Kapitalverhältnisses und seine Reproduktion auf stets",1905-06b,dnz,1159903,1160229,"t, sei es, daß durch irgendwelche Umstände die Marktpreise der Waren tief¬ unter ihren Produktionspreis fallen, so daß die Reproduktion des Kapitals nach Möglichkeit eingeschränkt wird, sei es, daß etwa Elemente des konstanten, Kapitals nicht in der nötigen Masse vorhanden sind. In diesem Falle stößt, die Reproduktion auf te",102
8,page_438,mega,1036,1453,"weil das Geld im Kauf der Arbeit als Zahlungsmittel funk‐ tionirt. Der Arbeiter wird gezahlt, nachdem er seine Arbeit geliefert hat. Begrifflich aber enthält die Funktion des Geldes als Zahlungsmittel, daß es den Werth oder Preis des gelieferten Artikels nachträglich realisirt, also im gegebnen Fall den Werth oder Preis der gelieferten Arbeit. Zweitens: Der Gebrauchswerth, den der Arbeiter dem Kapitalisten liefert",1905-06b,dnz,1160606,1160956,"en. Das Geld kann aber auch als Zahlungsmittel fungieren, als Kreditgeld, wo es in zwei verschiedenen Momenten wirkt, als Maß der Werte und als Realisierung des Wertes. Aus dieser Funktion des Geldes erwachsen aber selbständig wieder Möglichkeiten der Krise, wenn in der Zwischenzeit Ver¬ änderungen im Werte oder Preise der betreffenden Waren einget",149
9,page_244,mega,2735,2827, Dieß Gesetz widerspricht offenbar aller auf den Augenschein gegründetenErfahrung. Jedermann,1896-97a,dnz,2254131,2254207," dies Gesetz offenbar, aller auf den Augenschein gegründeten Erfahrung wider",71
10,page_403,mega,458,585,Beschränkung der Arbeitszeit unterliegt. Zur Ungerechtigkeit ungleicher Konkurrenz‐ bedingungen in Bezug auf die Arbeitsstunden,1905-06b,dnz,2305095,2305360,"bermäßigen Arbeitszeit, unter der die meisten Arbeiter leiden, läßt sich nach diesen Ausführungen leicht verstehen. Bei langer Arbeits¬ und kurzer Ruhezeit sind die Körperzellen noch nicht in ihren normalen Zustand zurückgekehrt, wenn schon wieder die Arbeitsstunde",37
