"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7502f995-ba13-4097-b723-af0e246d942c","1900-01a.txt","Da geziemt es sich wohl, auch des letzten revolutionären Blattes zu gedenken, das in diesen Tagen vor fünfzig Jahren unterging, nämlich der Monatsrevue, die Marx und Engels unter dem Titel der „Neuen Rheinischen Zeitung“ von London aus seit dem Januar 1850, veröffentlichten, um wenn möglich die in Deutschland selbst noch nicht erstickten revolutionären Kräfte um eine gemeinsame Standarte zu sammeln","char-offset:116780","","","","","","","","","Non_Kapital","","",""
"8e04f865-e494-4fd7-8006-b07429bfb5c2","1900-01a.txt","Sie hatten schon im „Kommuni¬ stischen Manifest"" erklürt, daß die Arbetterklasse unweigerlich die Bourgevisie, zu unterstützen habe, sobald und soweit diese ernsthaft mit dem Absolutismus und dem Feudalismus anbinde, und sie hatten nach diesem Grundsatz währende der Revolutionsjahre gehandelt, aber sie meinten, daß man die absolutistisch¬ feudale Reaktion nicht wirkungsloser bekämpfen könne als unter der Finte eines allgemeinen Harmoniedusels zwischen Bourgepisie und Proletariat.","char-offset:120744","","","","","","","","","Manifest der Kommunistischen Partei|Title Reference","","",""
"13683c5e-ba6c-4151-92ea-a5c77504dcf3","1900-01a.txt","Nun, als Karl Marx sein „Kapital“ schrieb, konnte er mit vollem Rechte annehmen, daß auch in der Landwirthschaft eine Konzentration der Betriebe stattfinden werde; er mußte das sogar annehmen, weil zu jener Zeit eine Konzentration der Betriebe thatsächlich stattfand und statt¬ gefunden hatte.","char-offset:289472","","","","","","","","","Kapital|Title Reference","","",""
"8e9be38a-bba7-4518-bfbd-052d23ce9232","1900-01a.txt","Im ersten Bande des „Kapital"" macht Marx im Anschluß an Robert Owen¬ gelegentlich die bedeutsame Bemerkung, daß die Erzlehung in der künftigen Gesell¬ schaft für alle Kinder, die ein gewisses Alter überschritten haben, produktive Arbeit mit Unterricht und Gymnastik verbinden werde, nicht nur als eine Methode zur Steigerung der gesellschaftlichen Produktion, sondern als die einzige Methode zur Produktion vollständig entwickelter Menschen.","char-offset:312360","","","","","","","","","Kapital|Title Reference","","",""
"423e48c4-5eae-4909-9ea9-01176ae5504e","1900-01a.txt","Der Zweck der sozialistischen Gesellschaft, „einer Afsoziation, worin die freie Entwicklung eines Jeden die Bedingung für die freie Entwicklung Aller ist“","char-offset:315757","","","","","","","","","Manifest der Kommunistischen Partei","","",""
"2ee3781f-a218-4192-8d97-933ed1df88fd","1900-01a.txt","einer „ökonomischen Gesellschaftsordnung, welche zugleich mit der größtmöglichen Entwicklung der gesellschaftlichen Produktivkräfte die höchstmög¬ liche allsettige Entwicklung des Menschen gewähren soll“, verlangt eine Unterrichts¬ und Erziehungsmethode, die mit den Prinzipien der sozialistischen Wirthschafts¬ ordnung in unmittelbarem Zusammenhang stehen muß, wie es Marx in dem obigen Satze programmatisch ausgedrückt hat.","char-offset:315937","","","","","","","","","Non_Kapital","","",""
"0b0e739f-4660-4763-9477-6f2deab46e62","1900-01a.txt","„Der Hauptmangel alles bishevigen Materialismus“ sagt Marx in seiner kritischen These über Feuerbachs Philosophie, „ist, daß der Gegenstand, die Wirklich¬ keit, Sinnlichkeit nur unter der Form des Objektes oder der Anschauung gefaßt. wurde; nicht aber als menschliche sinnliche Thätigkeit, Praxis, nicht subjektiv. Daher geschah es, daß die thätige Seite, im Gegensatz zum Materialismus, vom Idealismus entwickelt wurde, — aber nur abstrakt, da der Idealismus natürlich die wirkliche, sinnliche Thätigkeit als solche nicht kennt. Feuerbach will sinnliche, von den Gedankenobjekten wirklich unterschiedene Objekte; aber er faßt die menschliche Thätigkeit selbst nicht als gegenständliche Thätigkeit.""","char-offset:317545","","","","","","","","","Non_Kapital","These über Feuerbach","",""
"2abd1d8f-29d8-4419-a3f0-841add37c4ad","1900-01a.txt","Die Erzieher müssen erst selbst, erzogen werden, sagt Marx, eine Forderung, die nur durch Selbsterziehung und eine sorgfältige pädagogische Perfonenauslese verwirklicht werden kann. Mehr als in allen anderen Berufen muß darum unter den Schulmeistern „fürchterliche Musterung“, abgehalten werden!","char-offset:334725","","","","","","","","","Non_Kapital","These über Feuerbach ","",""
"5ee6fd88-805d-4476-b0d7-9d84c0f33fdc","1900-01a.txt","Daß es so kommen würde mit der immer stärkeren Entwicklung der kapita¬ listischen Produktionsweise, steht schon im Kommunistischen Manifest geschrieben, und den deutschen Arbeitern ist es durch hundertfältige Erfahrungen längst in Fleisch und Blut übergegangen, daß die Regierung heutzutage nur der Kommis¬ der unterdrückenden Klassen ist","char-offset:480066","","","","","","","","","Manifest der Kommunistischen Partei|Title Reference","","",""
"d680d3d3-e123-46ec-9231-98ed273936fb","1900-01a.txt","Jene ver¬ lorenen ostelbischen Winkel, in denen Könitz liegt, haben sich seit fünfzig Jahren, sehr wenig entwickelt und man mag heute noch auf sie die Worte von Marx¬ aus der „Neuen Rheinischen Zeitung“ auwenden, daß sie modernes Leben erst¬ in der Fortn des Handelsverkehrs auf seiner ersten rohen Stufe kenuen, wo er noch bloßer Schacher ist und von hansirenden Juden betrieben wird","char-offset:591054","","","","","","","","","Non_Kapital","","",""
