file,sent_idx,char_idx,sentence,phrases,lem_phrases
1901-02a,5967,945707,Da bei den ungelernten Massen stets eine Reservearmee von Ar¬,Reservearmee,reservearmee
1901-02a,8177,1269033,"Aber
List erkannte das nicht mit derselben Schärfe und Klarheit wie Marx, er maß
diese Erscheinungen auch nicht mit dem Maßstab proletarischer, alle Unterdrückung
und Ausbeutung verurtheilenden Moral, sondern mit dem Maßstab kapitalistischer
Moral, die Gewaltthat und Ausbeutung für Naturnothwendigkeiten hält; und
was Marx als eine Erscheinung der Vergangenheit erschien, als ein Mittel der
ursprünglichen Akkumulation, das proklamirte List als das auserlesene Mittel,
die Zukunft der deutschen Nation, wie anderer moderner Nationen, sicher zu stellen.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1901-02a,8193,1272430,"„Die verschiedenen Methoden der ursprünglichen Akkumulation“, sagt
er im
Jahr¬
Kapital“ (I, 3. Aufl., S. 777) „werden in England Ende des siebzehnten
hunderts systematisch zusammengefaßt im Kolonialfystem, Staatsschuldensystem,
modernen Steuersystem und Produktionsfystem.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1904-05b,482,77924,"Absatz eine stete Reservearmee im Winter, welche in Amerika in der Stadt, in
Europa auf dem Lande sich aufhält.",Reservearmee,reservearmee
1904-05b,4353,684772,"Diese Veränderung in der Zusammensetzung des Kapitals hat aber damals
natürlich weder ein Wachstum der industriellen Reservearmee noch ein Sinken der
Profitrate herbeigeführt.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,4364,686261,"Die Gegen¬
tendenzen fallen weg, die die Wirkungen des Fortschritts zu höherer organischer
Zusammensetzung des Kapitals verhüllt hatten: das Wachstum der industriellen
Reservearmee, das Sinken der Profitrate müssen jetzt zutage treten.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,6033,944822,Es entsteht daher im Mutterland eine industrielle Reservearmee.,industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,9610,1458399,"Kraft der Gesetzlichkeit seiner
eigenen Bewegung zieht das Kapital die immer wieder erzeugte industrielle
Reservearmee doch auch immer wieder an sich.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,11186,1700734,"In diesem Kapitel ist das Gute nicht neu, aber noch
weniger ist das Neue gut, denn neu ist in diesem Kapitel nur die ebenso von Un¬
kenntnis der Heimarbeit wie der industriellen Reservearmee zeugende Behauptung,
daß die Heimarbeit zum Teil nichts anderes ist als das „Refervoir, welches wir die
industrielle Reservearmee nennen“.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,11187,1701064,"An einer anderen Stelle heißt es gleichfalls
wörtlich: „Die Heimarbeiter stellen die industrielle Reservearmee dar, welche für die
Etablierung lohnender Produktionszweige stets zur Verfügung stehen.“",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1904-05b,12289,1866674,"In jedem Lande beginnt die kapitalistische Produktionsweise damit, einen
Teil der Landbevblkerung durch die verschiedensten Methoden zu expropriieren¬
und damit eine große Armee Arbeitsloser zu schaffen, die nur langsam und
niemals völlig durch die anwachsende Industrie aufgesaugt wird, die aber,
ehe es eine starke kapitalistische Industrie gibt, nicht bloß eine Reservearmee,
von Lohnarbeitern bildet, søndern auch eine Bevölkerungsschicht, die nur die¬
Wahl hat entweder zwischen der Auswanderung oder Betteln und Stehlen.",Reservearmee,reservearmee
1904-05b,14573,2210839,"Von der Existenz der Reservearmee hat Garofalo allem Anschein nach so gut
wie nichts gehört.",Reservearmee,reservearmee
1896-97aCLEAN,16227,2327427,"Man unterstelle eine Gesellschaft mit zehn Millionen Produzenten, von denen
nur neun Millionen beschäftigt sind, während eine Million als stehende Reservearmee
unfreiwillig herumlungert und am Nothwendigsten Mangel leidet.",Reservearmee,reservearmee
1896-97aCLEAN,18713,2685645,"Es fängt auch im
ärztlichen Stande an, sich eine Reservearmee zu bilden, bereit, zu jædem Preise und",Reservearmee,reservearmee
1896-97aCLEAN,18738,2689485,"Ist irgendwor
eine Lohnstreitigkeit oder dergleichen zum Ausbruch gekommen, so finden sich leicht
aus der Reservearmee am Orte oder von auswärts Ersatzmänner.",Reservearmee,reservearmee
1896-97aCLEAN,18743,2690088,"Der Gesetzentwurf betreffend die Disziplinargerichtsbarkeit &c.
Die ärztlichen Berufsvereine oder von der Gesammtheit der Aerzte gewählte Ver¬
tretungen (Aerztekammern) sollen von Staatswegen Disziplinargewalt erhalten, das
heißt, die Befugniß, die Konkurrenz zu beschränken, jeden Konkurrenten aus der
Reservearmee durch öffentliche Rügen und Geldstrafen abzuhalten, unter anderen
als von der ärztlichen Vertretung aufgestellten Bedingungen seine Dienste anzubieten.",Reservearmee,reservearmee
1898-99b-2,12807,1903658,"Doch bietet das¬
selbe mehr als diese Lösung: den Ursprüngen des russischen Kapitalismus nach¬
forschend, liefert Tugan-Baranowskij einen werthvollen Beitrag zur Geschichte,
der „ursprünglichen Akkumulation“ für den ihm die Wissenschaft zweifellos Dank¬
wissen wird.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1898-99b-2,13477,1997425,"Selbst Marx verlegt die Erklärung dieses „Warum"" nicht in die Ab¬
schnitte, die von den Gesetzen des Mehrwerths handelu, wo es vielmehr voraus¬
gesetzt wird, sondern in die Kapitel vom Akkumulationsprozeß, wobei der
größte Werth auf die ursprüngliche Akkumulation gelegt wird, die nicht
aus den Gesetzen des Mehrwerths abgeleitet, sondern als das Produkt von
Gewalt, Rechtsprivilegium u. s. w. dargestellt wird.",Ursprünglichen Akkumulation,ursprünglich akkumulation
1898-99b-2,17671,2580846,"Letztere, verfügend über billige Arbeitshände der örtlichen Reservearmee, schlug sehr
bald die Konkurrenz des rivalisirenden Handwerks und der Manufaktur aus dem,
Felde.",Reservearmee,reservearmee
1898-99b-2,20457,2960722,"Der chronische Prozeß der Proletarisirung der Bauern, welcher jährlich
ein gewisses Kontingent für die Reservearmee der städtischen Arbeiterklasse aus¬
scheidet, nahm jetzt einen akuten Charakter an: in der Ausdehnung von halb¬
Rußland findet jeden Sommer eine Völkerwanderung von Hunderttansenden von
Bauern nach dem Silden zur Arbeit in den Latifundien und Farmen statt.",Reservearmee,reservearmee
1901-02b,5274,770890,"Da nun im Zensus auf die Unbeschäftigten, auf
die Reservearmee, gar nicht Rücksicht genommen ist, so bliebe zur Verwerthung seiner
Resultate in den oben erwähnten Punkten nur das Surrogat von Schätzungen,
ein Nothbehelf, der bei Abwesenheit von irgend welchen sicheren Indizien zu sehr.",Reservearmee,reservearmee
1901-02b,7978,1199398,"Ihre Aufgabe ist es, die den Unter¬
nehmern mißliebigen Elemente, die „Hetzer und Agitatoren“ — und als solche gelten
alle Diejenigen, welche für die Arbeiterinteressen eintreten —von der Arbeitsvermittlung
auszuschließen, gewissermaßen dauernd arbettslos zu machen, andererseits durch Heran¬
ziehung auswärtiger Arbeitskräfte dauernd einen Ueberfluß an Arbeitern zu erzeugen,
eine ständige größere Reservearmee zu sichern, die es ermöglicht, jedes Verlangen der
Arbeiter nach Lohnerhöhung im Keime zu ersticken.",Reservearmee,reservearmee
1901-02b,17245,2570525,"Alles in Allem: Je fester, umfassender und finanziell kräftiger das Prole¬
tariat in sich organisirt ist, je prinzipieller, rücksichtsloser, begeisterter und be¬
sonnener es seine politischen und gewerkschaftlichen Kämpfe führt, um so eher
mag es ihm —
trotz Reservearmee und Unternehmerorganisation — gelingen, die
Bourgeviste zur Gewährung der jeweils objektiv günftigstmöglichen Bedingunger
zu zwingen, die „Produktionsverhältnisse"" in einer gewissen Kontinuität fort¬
laufend entsprechend den jeweils äußersten Möglichkeiten des Wirthschaftslebens
zu gestalten und die Gefahr wirthschaftlicher Katastrophen abzuwenden.",Reservearmee,reservearmee
1906-07b,3633,505629,"Namentlich nach qualifizierten
Arbeitern war die Nachfrage stärker als das Angebot, und die industrielle
Reservearmee verringerte sich stärker, als es den Verwertungsbedürfnissen des
Kapitals lieb ist.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07b,3637,506407,"Bedroht das Steigen¬
des Arbeitslohns die Profitrate, so stumpft sich der Stachel der Akkumulation
ab, die Erweiterung der Produktion hört auf und die Reihen der industriellen
Reservearmee schwellen von neuem an.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07b,11050,1562308,"Aber im Laufe des letzten Menschenalters wurde alles bis dahin noch nicht
angeeignete und nicht reservierte, für den Anbau brauchbare Land in Besitz¬
genommen, und nun schufen die Kräfte, die dem voll entwickelten kapitaliftischen
Produktionssystem innewohnen, die von diesem unzertrennliche „industrielle
Reservearmee“ Jetzt begannen sowohl die Unternehmer als auch die Arbeiter
zu erwägen, ob es weise sei, die Politik der uneingeschränkten Einwanderung
fortzusetzen.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07b,11052,1562869,"Es liegt im Interesse dieser Klasse, nicht nur so viel¬
Arbeiter zur Verfügung zu haben, wie den tatsächlichen Bedürfnissen der
nationalen Industrie genügen, sondern auch einen gewissen Überschuß oder eine
Reservearmee der Arbeitslosen heranzuziehen, um die Löhne auf einem niedrigen
Niveau zu erhalten.",Reservearmee,reservearmee
1906-07b,11950,1685575,"Allmählich wird
der Lohndrückerimport zur Massenerscheinung: wenn beispielsweise in
Zeiten der Hochkonjunktur der rheinisch-westfälische Kohlenbergbau einen be¬
trächtlichen Teil der industriellen Reservearmee aufgesaugt hat und die Unter¬
nehmer fürchten, daß die Arbeiter die günstige Situation ausnützen und sich¬
günstigere Arbeitsbedingungen erkämpfen werden, dann erscheinen in Schlesien¬
in Böhmen, in Steiermark Emisfäre der Unternehmer, welche Arbeiter für
den westdeutschen Kohlenbergbau anwerben und int die Kohlengebiete impor¬
tieren;",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07b,12031,1698139,"Der verfügbare Vorrat an Arbeitskräften setzt stets der
Ausdehnung der Industrie die äußerste Grenze; wenn nicht andere Umstände
die Konjunktur früher begrenzen, so muß doch die Ausdehnung des gefellschaft¬
lichen Produktionsapparats stocken, sobald die industrielle Reservearmee von
der wachsenden Industrie völlig aufgesaugt ist.""",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1906-07b,15428,2173536,"Überdies aber nahm die Regie¬
rung die ländliche Arbeitsvermittlung selbst in die Hand, was darin bestand,
daß sie auf den Staatsdomänen und auf Staatskosten riesige Reservearmeen.",Reservearmee,reservearmee
1895-96a CLEAN,478,71702,"Es ist ganz verkehrt,
ein ökonomisches Moment, die Verringerung der Reservearmee, bei dem Eintreten für
den Arbeiterschutz in den Vordergrund zu schieben.",Reservearmee,reservearmee
1895-96a CLEAN,479,71857,"Die industrielle Reservearmee wird.
durch die Einführung des Arbeiterschutzes im Ganzen und Großen nicht verringert.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1895-96a CLEAN,13451,1851180,"Er ergiebt sich
aus den inneren produktiven Zusammenhängen der Industrie, wie Saisonarbeit,
große, schnell auszuführende Bestellungen &c. Sodann, je mehr die Reservearmee,
abforbirt wird, desto mehr wächst der Arbettslohn (wodurch der Beweis erbracht,
ist, daß ein relativer Mangel an Arbeitern besteht).",Reservearmee,reservearmee
1895-96a CLEAN,13454,1851837,"Wenn daher eine kapitalistisch überflüssige Reservearmee sich auf¬
staut, so ist das ein Beweis der ungenügenden Entwicklung des Weltmarkts.",Reservearmee,reservearmee
1895-96a CLEAN,13456,1852144,"Nebenbei sei noch bemerkt, daß die Auswanderung das ¬
kapitalistische Regulativ der Reservearmee bildet.",Reservearmee,reservearmee
1895-96a CLEAN,17093,2342579,"648.
Naibetät besitzen, wenn man sich einredete, daß durch etliche Arbeitsbörsen auch
nur ein Theil der ungeheuren industriellen Reservearmee von Arbeitslosen wieder¬
in Reth und Glied der aktiven Arbeiterschaft einbezogen werden könnte.",industriellen Reservearmee | Reservearmee,industriell reservearmee | reservearmee
1895-96a CLEAN,20991,2846361,"Weder für ihn wie für seinen Auftraggeber handelte
es sich um die Erwägung, ob diese Löhne zur Lebenshaltung ausreichen, in
Betracht für sie kommt einzig die Möglichkeit, aus der hier schier unerschöpflichen
Reservearmee stets neue und gefügige Arbeitskräfte zu erlangen.",Reservearmee,reservearmee
