file,sent_idx,char_idx,sentence,phrases,lem_phrases
1899-00a,618,98500,"Diese rasche Entwicklung.
lockte naturgemäß das Kapital an,
vor Allenn.",Kapital | Das Kapital,kapital | der kapital
1899-00a,619,98572,"das englische: 1895 finden wir bereits in Transvaal 170 Goldminen=Gesell¬
schaften mit einem Kapital von 870 Millionen Mark, 1896 wuchs die Anzahl",Kapital,kapital
1899-00a,620,98721,"Heinrich Cunow: Die Transvaalkrift
29
der Kompagnien auf beinahe 200 mit nahe an 1150 Millionen Mark Kapital.",Kapital,kapital
1899-00a,736,111317,"Alle die¬
maschinellen Hilfsmittel, welche auch in die Buchbinderei im letzten Jahrzehnt ein¬
geführt worden sind, kommen fast ausnahmslos der Großproduktion zu Gute, da der
Kleinbetrieb in Folge seiner meist handwerksmäßigen Produktion einerseits keine
Verwendung für sie hat, andererseits ihm nicht die nöthigen Kapitalien zur Ver¬
fügung stehen, um sich die Maschinen &. anzuschaffen.",Kapital,kapital
1899-00a,766,116857,"namentlich dem Gerede von der unpartei¬
ischen „Staatsgewalt"", die mit der Hand einer überirdischen Gerechtigkeit den
Klassenkampf zwischen Kapital und Arbeit schlichten soll, steht er mit erfrischender
Klarheit gegenüber.",Kapital,kapital
1899-00a,850,130940,"Saint=Simon eine wissenschaftliche Schule und ein großes industrielles Eta¬
blissement als Experimente gründen und sich das dazu nöthige Kapital durch
diese Spekulationen verschaffen wollte.",Kapital,kapital
1899-00a,961,146372,"Herr Grün p. 87: „Die freie Konkurrenz war ein unreiner, ein konfuser
Begriff, ein Begriff, der in sich selbst eine neue Welt von Kampf und Unglück,
enthielt, den Kampf zwischen Kapital und Arbeit und das Unglück des kapital¬
losen Arbeiters.",Kapital,kapital
1899-00a,1178,182361,"Wer sich für die Geschichte der „ursprünglichen
Akkumulation"" für die Blutgeschichte des Kapitals interessirt, wird aus diesen
Kapiteln viel lernen können, denn in der That hat das Wucher- und Handelskapital in
Rußland wahre Orgien gefeiert, während auf der anderen Seite als Resultat dieser
schrankenlosen Ausbeutung eines Bauernvolks der Hunger in Permanenz erscheint.",Kapital | Das Kapital,kapital | der kapital
1899-00a,1693,260406,"Nach einem bibliographischen Ueberblick über die verwickelte Frage des funda¬
mentalen Wider
ruchs, der zwischen dem ersten und dem dritten Bande des¬
„Kapitals“ bestehen soll, kommt der Autor dahin, die Doktrin von dem Werth¬
gleich Arbeit zu verwerfen und so weiter, bis zu der Behauptung, daß Marx nicht.",Kapital | Das Kapital,kapital | der kapital
1899-00a,1705,262336,"Wenn es aber so leicht ist, den historischen Materialismus zu Staub zu
rmalmen, wenn die Auffassung der Klassenkämpfe als eines Prinzips geschicht¬
licher Dynamik nur eine irrige Generalisation falsch verstandener Thatsachen ist,
wenn die Erwartung des Kommunismus durchaus utopistisch, wenn die Lehren
des „Kapitals“ von so offenkundiger Unhaltbarkeit, wenn all die Grundlagen
nunmehr zerstört sind, warum giebt sich dann der Autor die Müihe, noch weitere
zweihundert Seiten über Recht, Ethik, Religion u. s. w. zu schreiben, also über
die Systeme, die er ideologisch nennt?",Kapital | Das Kapital,kapital | der kapital
