file,sent_idx,char_idx,sentence,phrases,lem_phrases
1899-00a,285,45036,"Dies schließt keineswegs aus, was schon das Kommu¬
nistische Manifest betont, daß die Sozialdemokratie unter Umständen die bürger¬
liche Demokratie unterstlitzen und mit ihr zusammenwirken kann, wo es den
Kampf gegen gemeinsame reaktionäre Feinde gilt.",Manifest,manifest
1899-00a,647,103080,"Die Kritiker des „Kommunistischen Manifests“ nahmen bisher an, es habe
der Zeit feiner Abfassung entsprochen, sei aber durch die neuere Entwicklung über¬
sinnreich nach, daß es gerade Er¬
holt.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest
1899-00a,649,103315,"scheinungen schildert, die wir zum Theile wohl heute finden, die aber zur Zeit des¬
Kommunistischen Manifests unbekannt waren.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest
1899-00a,656,104080,"Das Manifest schreibt: Die
kaum hundertjährige Klassenherrschaft (der Bourgeoisie).“",Das Manifest | Manifest,der manifest | manifest
1899-00a,4222,673240,"In Nr. 1, S. 30 des laufenden Jahrgangs der
„Neuen Zeit"" brachten wir als humoristischen Beitrag die Ankündigung, daß nun
endlich, nachdem mehr als fünfzig Jahre seit dem Erscheinen des „Kommunistischen
Manifests"" verflossen sind, ein spürfinniges Menschenkind, Herr Dr. Ferdinand Gold¬
stein, in Gibbons „Geschichte des Niedergangs und Falles des römischen Kaiser¬
reichs"" die geheime Quelle entdeckt hat, aus der Marx und Engels ihre im Mantfest¬
niedergelegten Gedanken über den Verlauf der wirthschaftlichen Entwicklung der kapi¬
talistischen Produktionsweise bezogen haben.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest
1899-00a,4231,675051,"Man
lese Gibbons monumentales Werk über den „Niedergang und Fall des römischen
Reiches"", und man wird finden, woher jene historischen Reminiszenzen stammen,
die im „Kommunistischen Manifest“ als Prophezeiung in die Zukunft,
projizirt werden.",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest
1899-00a,6977,1074684,"Sollte diese allerdings sehr gefahrlose und bequeme Methode,
die kapitalistische Gesellschaft in eine sozialistische zu verwandeln, populär werden,
dann würde es Zeit, daß die Sozialdemokraten zum Unterschied von dieser Sorte,
Sozialisten sich wieder Kommunisten nennen, wie die Verfasser des „Kommu¬
nistischen Manifests“ gethan.",Manifest,manifest
1899-00a,11560,1722984,"Vide Manifest der Kommunisten Deutschlands von 1848, Punkt 8: „Die Hypo¬
theken auf den Bauerngütern werden füle Staatselgenthum erklärt (in einer Note¬
fügt Hertz hinzut also ohne Entschädigung).",Manifest,manifest
1899-00a,11567,1723979,"Warum soll ich mich darüber
grämen, sind doch auch die Verfasser des Kommunistischen Manifests nur „radikale
Phraseure“ deren Forderungen ein Hertz nicht mehr ernsthaft nehmen kann !",Manifest | Kommunistische Manifest,manifest | kommunistisch manifest
1899-00a,11568,1724162,"Es ist offenbar nur Dogmatismus und Personenkultus, wenn ich mir die
Bemerkung erlaube, daß der Satz, der allenfalls als „radikale Phrase“ erscheinen
könnte nicht von den Verfassern des Manifests herrührt, sondern von
F. O. Hertz.",Das Manifest | Manifest,der manifest | manifest
1899-00a,17087,2501510,"Gerade damals veröffentlichte auch die Reichstagsfraktion unserer Partei
ein Manifest, in dem es hieß:
„Wo solche Kundgebungen gegen die Angriffe auf die Freiheit und das Recht¬
des Volkes von bürgerlicher Seite ausgehen, unterstützt dieselben.",Manifest,manifest
1899-00a,17089,2501845,Dieses Manifest wurde von der Fraktion einstimmig acceptirt.,Manifest,manifest
1899-00a,18730,2756142,"Herr Elster hat nicht minder unangenehme Erfahrungen mit einem angeblichen
Wydener Manifest von 1880 gemacht, wodurch er die Soztaldemokratie einer Politik des
gewaltsamen Umsturzes überführen wollte.",Manifest,manifest
1899-00a,18733,2756530,"Das sogenannte „offizielle Wydener,
Manifest“ ist erstens nicht, was man nach dieser Bezeichnung annehmen müßte, eine Kund¬
gebung des Wydener Parteitags, der vielmehr nicht das Geringste damit zu thun hat;",Manifest,manifest
1899-00a,18737,2756908,"das wirkliche von
der Parteileitung erlassene Manifest, das an die Beschlüsse des Wydener Parteitags anknüpft,
ist in Nr. 39 des „Sozialdemokrat“ von 1880 abgedruckt und stimmt mit dem von Elster vorge¬
brachten in keinem Worte überein.",Manifest,manifest
1899-00a,18738,2757145,"Drittens hat Elster bei seinem Zitat nicht die Originalquelle
benutzt, sondern einen apokryphen Abdruck aus dem Buche eines Polizeiraths Zacher, viertens hat
er auch noch ans diefer bedenklichen Quelle mit vielem Geschick gerade die Sätze ausgelassen,
die ergeben, daß auch dieses sogenannte Manifest ausdrücklich nur von dem Falle handelt,
daß eine kurzsichtige Gewaltpolitik der herrschenden Klassen die Sozialdemokratie hindern,
sollte, ihre Ziele auf gesetzlichem Wege zu verfolgen.",Manifest,manifest
