file,quote,type,speaker,cue,addressee,frame,quote_offsets,cue_offsets,speaker_offsets,addressee_offsets,frame_offsets
1896-97aCLEAN_chunk_042.txt,"ihre Weihnachten nicht dadurch zu
stören",Indirect,Sie,bat ihn sprach,,"Sie bat ihn, , daß er von Zeitungen sprach",20736-20776,20727-20734;20799-20805,20723-20726,,20723-20735;20776-20805
1896-97aCLEAN_chunk_042.txt,"„Dieses Fest""",Direct,er,wiederholte,,", wiederholte er für sich,",20809-20822,20824-20835,20836-20838,,20822-20848
1896-97aCLEAN_chunk_042.txt,„da Friede und Verföhnung u. s. w.),Direct,er,wiederholte,,", wiederholte er für sich,",20849-20884,20824-20835,20836-20838,,20822-20848
1896-97aCLEAN_chunk_004.txt,"daß
der Verdienst des selbständigen Heimarbeiters mit 18 Pfennig pro Stunde geringer,
ist, als der des Werkstatt-Lohnarbeiters mit 19¼ Pfennig, welcher wiederum weniger,
verdient, als sein im festen Lohne stehender Kollege mit 22¾ Pfennig pro Stunde",Indirect,der amtliche Bericht,kommt zu dem Schlusse,,"Auf Grund des ganz¬
betaillirt mitgetheilten Materials kommt der amtliche Bericht zu dem Schlusse,",554-803,510-515;537-552,516-536,,455-553
1896-97aCLEAN_chunk_004.txt,„Le Génie du Christianisme“,Direct,Drei,,,,9950-9977,,9863-9867,,
1896-97aCLEAN_chunk_004.txt,Sie,Direct,,,,,10041-10044,,,,
1896-97aCLEAN_chunk_004.txt,Sie „Unvergleichliche von Florida“,Direct,,,,,10041-10044;10375-10405,,,,
1896-97aCLEAN_chunk_004.txt,"Die Veröffentlichung von „Atala“ „Alles ist neu, die Landschaft, die Charaktere, das Kolorit!“",Direct,Fontanes,rief,,rief Fontanes aus,10280-10312;10431-10492,10493-10497,10498-10506,,10493-10510
1896-97aCLEAN_chunk_004.txt,"„daß sein
„Le Mercure de France“ (vom
Busen durchaus kein Kieselherz beherbergt.“",Indirect,,,,,11686-11767,,,,
1896-97aCLEAN_chunk_004.txt,„empfindsamen Seelen“,Direct,,,,,11260-11281,,,,
1896-97aCLEAN_chunk_004.txt,pedantische Kritik von „Atala“,Direct,,,,,11501-11531,,,,
1896-97aCLEAN_chunk_004.txt,"„daß sein
„Le Mercure de France“",Direct,"Sie bewunderten „die neue Mufik der
Sprache ... die Kunst, das Gefolge der Beiwörter abwechslungsreich zu gestalten,
und zu regeln ... die Harmonie zwischen dem harmonischen Klang eines Wortes,
und dem Sinn einer Idee oder dem Kolorit eines Bildes .. den unbekanntene.
Reiz der Schilderungen.“ Die „empfindsamen Seelen“ waren gewonnen, und um
den Rausch ihres Entzückens voll zu machen, wurde „Atala"" in Musik gesetzt, in
Romanzen geflötet, stellten Holzschnitt und Malerei die wichtigsten Szenen aus
dem Roman dar. Morellet beginnt seine pedantische Kritik von „Atala“, welcher
man wie „Clarissa Harlowe“ und „Die neue Héloise“ verschlingt und løbt, mit
Entschuldigungen an die Adresse des Lesers und mit der Versicherung,",løbt,,"und løbt, mit
Entschuldigungen an die Adresse des Lesers und mit der Versicherung",11686-11718,11607-11611,10962-11685,,11603-11684
1896-97aCLEAN_chunk_004.txt,Madame,Direct,Madame,,,,12007-12013,,12007-12013,,
1896-97aCLEAN_chunk_004.txt,"Madame """,Direct,Madame,,,,12007-12013;12033-12034,,12007-12013,,
1896-97aCLEAN_chunk_004.txt,"Madame "" „daß Pier¬
Gaveaux die träumerische Stimmung und den Reiz der Einsamkeit wiedergebe,
welche Atala' das charakteristische Gepräge aufdrücken"" und bemerkte: „Seit zwei
Monaten sind die Zeitungen von diesem Roman gefesselt, jeder seiner",Direct,,,,,12007-12013;12033-12034;12060-12293,,,,
1896-97aCLEAN_chunk_004.txt,Madame,Direct,,,,,12007-12013,,,,
1896-97aCLEAN_chunk_004.txt,"Begeisterung, mit welcher die ersten romantischen
Schöpfungen Chateaubriands begrüßt",Direct,,,,,12826-12910,,,,
1896-97aCLEAN_chunk_004.txt,"Begeisterung, mit welcher die ersten romantischen
Schöpfungen Chateaubriands begrüßt",Direct,,,,,12826-12910,,,,
1896-97aCLEAN_chunk_004.txt,entwickeln,Direct,,,,,15484-15494,,,,
