sent_id,file,sent_idx,char_idx,sentence,phrases,lem_phrases,sent_start,sent_end,kapital_candidate,manifest_candidate,anno_uuid,anno_start,anno_end,anno_text,anno_mentions_kapital,anno_mentions_manifest,flair_ner_spans,flair_contains_band,flair_contains_kapital,flair_contains_manifest
1897-98aCLEAN:1,1897-98aCLEAN,1,60,"XVI. Jahrgang, I. Band.",Band,band,60,83,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:25,1897-98aCLEAN,25,3094,"Sie betrieb kreuzfidel die
große Plünderung des Gründungsschwindels, und Herr Miquel, damals weit
entfernt, den Mittelstand erhalten zu wollen, in dem sich Kapital und Arbeit
vereinigen, half vielmehr mit seinen „korrekten“ Gründungen diesem Mittelstand
das Rückgrat brechen.",Kapital,kapital,3094,3369,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:117,1897-98aCLEAN,117,15205,"Aber Marx spricht darin von den „Gedichten der ersten drei Bände""
die er einige Zeit vorher geschrieben habe.",Band,band,15205,15314,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:118,1897-98aCLEAN,118,15315,"Nun besitze ich drei Bände Gedichte, die
ich als die erwähnten betrachten darf.",Band,band,15315,15394,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:120,1897-98aCLEAN,120,15491,"Es sind drei ziemlich
dicke, sehr sauber geschriebene Bände.",Band,band,15491,15551,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:124,1897-98aCLEAN,124,15862,"Der Brief ist vom 10. November datirt, und wenn es auch
nicht unmöglich ist, daß die drei Bände zu Ende Oktober und Anfang November
abgeschrieben und abgesandt wurden, so ist dies doch höchst unwahrscheinlich und der
betreffende Passus in dem Briefe spricht nicht für diese Annahme.",Band,band,15862,16144,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:166,1897-98aCLEAN,166,22699,"Alles Wirkliche verschwimmt und alles Verschwimmende findet keine
Grenze, Angriffe auf die Gegenwart, breit und formlos geschlagenes Gefühl,
nichts Naturhaftes, alles aus dem Mond konstruirt, der völlige Gegensatz von dem,
was da ist und dem, was sein soll, rhetorische Reflektionen statt poetischer
Gedanken, aber vielleicht auch eine gewisse Wärme der Empfindung und Ringen
nach Schwung bezeichnen alle Gedichte der ersten drei Bände, die Jenny von mir
zugesandt erhielt.",Band,band,22699,23172,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:754,1897-98aCLEAN,754,113224,"XVI. Jahrgang, I. Band.",Band,band,113224,113247,true,false,N/A,,,,No,No,,false,false,false
1897-98aCLEAN:905,1897-98aCLEAN,905,136503,"Leser des „Kapital“ werden sich der Bemerkungen von Marx über diesen
Gegenstand erinnern.",Das Kapital | Kapital,der kapital | kapital,136503,136592,true,false,4562cc5c-22fb-4f31-8e80-6e2a943cd0e7,136503,136592,Leser des „Kapital“ werden sich der Bemerkungen von Marx über diesen Gegenstand erinnern.,Yes,No,"MISC : ""Kapital""",false,true,false
1897-98aCLEAN:912,1897-98aCLEAN,912,137830,"Aus dem Fabriksystem, wie
man im Detail bei Robert Owen verfolgen kann, entsproß der Keim der Erziehung
der Zukunft, welche für alle Kinder über einem gewissen Alter produktive Arbeit
mit Unterricht und Gymnastik verbinden wird, nicht nur als eine Methode zur
Steigerung der gesellschaftlichen Produktion, sondern als die einzige Methode zur
produktion vollseitig entwickelter Menschen.“ („Kapital“, Band I, 2. Auflage,
S. 508/ Verh.",Kapital | Band,kapital | band,137830,138263,true,false,ffd39951-1049-49a3-9f04-13f75d0f57e0,137018,138264,"„Ihr Erfolg bewies zunächst die Möglichkeit der Verbindung von Unter¬ richt und Gymnastik mit Haudarbeit, also auch von Handarbeit mit Unterricht und Gymnastik. Die Fabrikinspektoren entdeckten bald aus den Zeugenverhören der Schulmeister, daß die Fabrikkinder, obgleich sie nur halb so viel Unterricht genießen als die regelmäßigen Tagesschüler, ebenso viel und oft mehr lernen. (Hier folgt ein Zitat aus den Fabrikinspektorenberichten.) Weitere Belege findet man in Seniers Rede auf dem soziologischen Kongreß zu Edinburg 1863. Er zeigt hier auch u. A. nach, wie der einseitige, unproduktive und verlängerte Schultag der Kinder der höheren und mittleren Klassen die Arbeit der Lehre nutzlos vermehrt, während er Zeit, Gesundheit und Energie der Kinder nicht nur fruchtlos, sondern absolut schädlich verwüstet: Aus dem Fabriksystem, wie man im Detail bei Robert Owen verfolgen kann, entsproß der Keim der Erziehung der Zukunft, welche für alle Kinder über einem gewissen Alter produktive Arbeit mit Unterricht und Gymnastik verbinden wird, nicht nur als eine Methode zur Steigerung der gesellschaftlichen Produktion, sondern als die einzige Methode zur produktion vollseitig entwickelter Menschen.“ („Kapital“, Band I, 2. Auflage, S. 508/ Verh. ",Maybe,No,"MISC : ""Kapital""",false,true,false
