sent_id,file,sent_index,text,page_number,section_type,line_number
Das_Kapital_MEGA_A2_B005-00_ETX.xml:0,Das_Kapital_MEGA_A2_B005-00_ETX.xml,0,Das Kapital. Kritik der politischen Ökonomie Erster Band Hamburg 1867,1,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:1,Das_Kapital_MEGA_A2_B005-00_ETX.xml,1,Erste Umschlagseite der Erstausgabe,5,text,
Das_Kapital_MEGA_A2_B005-00_ETX.xml:2,Das_Kapital_MEGA_A2_B005-00_ETX.xml,2,"Gewidmet   meinem unvergeßlichen Freunde,   dem kühnen, treuen, edlen Vorkämpfer des Proletariats,    Wilhelm Wolff.",7,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:3,Das_Kapital_MEGA_A2_B005-00_ETX.xml,3,Geb.,7,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:4,Das_Kapital_MEGA_A2_B005-00_ETX.xml,4,"zu Tarnau, 21. Juni",7,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:5,Das_Kapital_MEGA_A2_B005-00_ETX.xml,5,1809.   Gest.,7,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:6,Das_Kapital_MEGA_A2_B005-00_ETX.xml,6,im Exil zu Manchester 9. Mai,7,text,6
Das_Kapital_MEGA_A2_B005-00_ETX.xml:7,Das_Kapital_MEGA_A2_B005-00_ETX.xml,7,1864.,7,text,6
Das_Kapital_MEGA_A2_B005-00_ETX.xml:8,Das_Kapital_MEGA_A2_B005-00_ETX.xml,8,Inhalt des ersten Bandes.,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:9,Das_Kapital_MEGA_A2_B005-00_ETX.xml,9,Seite    Vorwort,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:10,Das_Kapital_MEGA_A2_B005-00_ETX.xml,10,VII     Erstes Buch.,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:11,Das_Kapital_MEGA_A2_B005-00_ETX.xml,11,Der Produktionsprozeß des Kapitals.,9,text,4
Das_Kapital_MEGA_A2_B005-00_ETX.xml:12,Das_Kapital_MEGA_A2_B005-00_ETX.xml,12,Erstes Kapitel.,9,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:13,Das_Kapital_MEGA_A2_B005-00_ETX.xml,13,Waare und Geld  1    1),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:14,Das_Kapital_MEGA_A2_B005-00_ETX.xml,14,Die Waare 1    2) Der Austauschprozeß der Waaren 45    3),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:15,Das_Kapital_MEGA_A2_B005-00_ETX.xml,15,Das Geld und die Waarencirkulation 55     A. Maß der Werthe 55     B. Cirkulationsmittel 63          a),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:16,Das_Kapital_MEGA_A2_B005-00_ETX.xml,16,Die Metamorphose der Waaren 63          b),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:17,Das_Kapital_MEGA_A2_B005-00_ETX.xml,17,Der Umlauf des Geldes 74          c),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:18,Das_Kapital_MEGA_A2_B005-00_ETX.xml,18,Die Münze.,9,text,13
Das_Kapital_MEGA_A2_B005-00_ETX.xml:19,Das_Kapital_MEGA_A2_B005-00_ETX.xml,19,Das Werthzeichen 85     C. Geld 91          a) Schatzbildung 91          b) Zahlungsmittel 96          c),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:20,Das_Kapital_MEGA_A2_B005-00_ETX.xml,20,Weltgeld 103    Zweites Kapitel.,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:21,Das_Kapital_MEGA_A2_B005-00_ETX.xml,21,Die Verwandlung von Geld in Kapital  106    1),9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:22,Das_Kapital_MEGA_A2_B005-00_ETX.xml,22,Die allgemeine Formel des Kapitals 106    2) Widersprüche der allgemeinen Formel 117    3) Kauf und Verkauf der Arbeitskraft 129    Drittes Kapitel.,9,text,1
