sent_id,file,sent_index,text,page_number,section_type,line_number
Das_Kapital_MEGA_A2_B005-00_ETX.xml:0,Das_Kapital_MEGA_A2_B005-00_ETX.xml,0,Das Kapital.,1,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:1,Das_Kapital_MEGA_A2_B005-00_ETX.xml,1,Kritik der politischen Ökonomie Erster Band Hamburg 1867,1,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:2,Das_Kapital_MEGA_A2_B005-00_ETX.xml,2,Erste Umschlagseite der Erstausgabe,5,text,
Das_Kapital_MEGA_A2_B005-00_ETX.xml:3,Das_Kapital_MEGA_A2_B005-00_ETX.xml,3,Gewidmet,7,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:4,Das_Kapital_MEGA_A2_B005-00_ETX.xml,4,"meinem unvergeßlichen Freunde,",7,text,2
Das_Kapital_MEGA_A2_B005-00_ETX.xml:5,Das_Kapital_MEGA_A2_B005-00_ETX.xml,5,"dem kühnen, treuen, edlen Vorkämpfer des Proletariats,",7,text,3
Das_Kapital_MEGA_A2_B005-00_ETX.xml:6,Das_Kapital_MEGA_A2_B005-00_ETX.xml,6,Wilhelm Wolff.,7,text,4
Das_Kapital_MEGA_A2_B005-00_ETX.xml:7,Das_Kapital_MEGA_A2_B005-00_ETX.xml,7,Geb.,7,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:8,Das_Kapital_MEGA_A2_B005-00_ETX.xml,8,"zu Tarnau, 21. Juni 1809.",7,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:9,Das_Kapital_MEGA_A2_B005-00_ETX.xml,9,Gest.,7,text,6
Das_Kapital_MEGA_A2_B005-00_ETX.xml:10,Das_Kapital_MEGA_A2_B005-00_ETX.xml,10,im Exil zu Manchester 9.,7,text,6
Das_Kapital_MEGA_A2_B005-00_ETX.xml:11,Das_Kapital_MEGA_A2_B005-00_ETX.xml,11,Mai 1864.,7,text,6
Das_Kapital_MEGA_A2_B005-00_ETX.xml:12,Das_Kapital_MEGA_A2_B005-00_ETX.xml,12,Inhalt des ersten Bandes.,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:13,Das_Kapital_MEGA_A2_B005-00_ETX.xml,13,Seite,9,text,2
Das_Kapital_MEGA_A2_B005-00_ETX.xml:14,Das_Kapital_MEGA_A2_B005-00_ETX.xml,14,Vorwort VII,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:15,Das_Kapital_MEGA_A2_B005-00_ETX.xml,15,Erstes Buch.,9,text,4
Das_Kapital_MEGA_A2_B005-00_ETX.xml:16,Das_Kapital_MEGA_A2_B005-00_ETX.xml,16,Der Produktionsprozeß des Kapitals.,9,text,4
Das_Kapital_MEGA_A2_B005-00_ETX.xml:17,Das_Kapital_MEGA_A2_B005-00_ETX.xml,17,Erstes Kapitel.,9,text,5
Das_Kapital_MEGA_A2_B005-00_ETX.xml:18,Das_Kapital_MEGA_A2_B005-00_ETX.xml,18,Waare und Geld  1,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:19,Das_Kapital_MEGA_A2_B005-00_ETX.xml,19,1) Die Waare 1,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:20,Das_Kapital_MEGA_A2_B005-00_ETX.xml,20,2) Der Austauschprozeß der Waaren 45,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:21,Das_Kapital_MEGA_A2_B005-00_ETX.xml,21,3) Das Geld und die Waarencirkulation 55,9,text,1
Das_Kapital_MEGA_A2_B005-00_ETX.xml:22,Das_Kapital_MEGA_A2_B005-00_ETX.xml,22,A. Maß der Werthe 55,9,text,1
